feature,KS,KL,p_chi2
diagnosis_bucket_cardiovascular|post_vascular_surgery|s/p_cartoid_endarterectomy,0.0007280855099153216,4.537551110815423e-05,
bun__missing,0.0006531101202007505,4.21359259686544e-06,
diagnosis_bucket_renal|disorder_of_urinary_tract_/_renal_system_infection|urinary_tract_infection,0.0006161267538339343,5.0676522952969815e-05,
respiration__missing,0.0005794687107140151,1.6714159124725037e-06,
diagnosis_bucket_toxicology|drug_overdose|drug_overdose-_general,0.0005352202565815922,4.618699368030485e-05,
diagnosis_bucket_neurologic|altered_mental_status_/_pain|change_in_mental_status,0.0005166302018448921,8.513876277121751e-06,
diagnosis_bucket_cardiovascular|vascular_disorders|hypertension,0.0004730494349475256,8.686305281991951e-06,
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation,0.00047303022538436323,1.134100976481027e-05,
diagnosis_bucket_cardiovascular|cardiac_surgery|s/p_CABG_<_7_days,0.0004356807929071227,1.14165604888232e-05,
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis,0.0004232732741034084,6.204340952461356e-06,
diagnosis_bucket_gastrointestinal|abdominal/_general|abdominal_pain_/_tenderness,0.00042320402672646473,2.5503504279767645e-05,
unittype_Cardiac_ICU,0.0004173438706396304,1.500347993870139e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis|severe,0.0004107698623997402,1.5390371052921516e-05,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|hemorrhagic_stroke,0.0004044791952162452,1.5472952846036546e-05,
diagnosis_bucket_cardiovascular|cardiac_surgery|CABG_<_7days,0.00037342476756552223,1.5134077015156765e-05,
diagnosis_bucket_renal|disorder_of_kidney|acute_renal_failure,0.0003548117852858468,4.638663302598399e-06,
gender_Female,0.0003518652861642657,2.492370604982022e-07,
diagnosis_bucket_cardiovascular|shock_/_hypotension|septic_shock,0.0003485270049039535,1.574157440858829e-05,
creatinine__missing,0.00034817751478732895,1.2232871340355812e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension,0.000342206438964876,5.038502802561971e-06,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|GI_bleeding,0.00032365387385968614,7.453512772153607e-06,
diagnosis_bucket_hematology|bleeding_and_red_blood_cell_disorders|anemia,0.0003235762610278581,9.760893947370977e-06,
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_distress,0.00031107130016594375,3.322203548346953e-06,
diagnosis_bucket_cardiovascular|ventricular_disorders|congestive_heart_failure,0.00031105302009770686,2.779425047994531e-06,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|ischemic_stroke,0.00030488860931709993,5.6725964425360085e-06,
heartrate__missing,0.0002616423057008044,8.391527548779029e-07,
diagnosis_bucket_cardiovascular|ventricular_disorders|hypertension,0.0002614272825262054,4.278156526283771e-06,
gender_Male,0.00024606458931430986,1.218546247842519e-07,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|hyperlipidemia,0.00023650783164808065,7.364955052576675e-06,
diagnosis_bucket_neurologic|seizures|seizures,0.0001991943396437712,2.4977371708527214e-06,
diagnosis_bucket_renal|disorder_of_kidney|chronic_kidney_disease,0.00019916769412053892,5.344345271269022e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension_/_pressor_dependent,0.00018044967890695762,4.064501574855102e-06,
diagnosis_bucket_pulmonary|disorders_of_vasculature|pulmonary_embolism,0.00016800714912523773,4.191198075945932e-06,
diagnosis_bucket_endocrine|glucose_metabolism|diabetes_mellitus,0.00016189618430662023,9.06874294363748e-07,
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days,0.0001618250779398256,4.054651178339304e-06,
diagnosis_bucket_pulmonary|respiratory_failure|hypoxemia,0.00013687975611775816,1.8260537820612621e-06,
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation|with_rapid_ventricular_response,0.00013074741291452252,9.128312621652698e-07,
diagnosis_bucket_pulmonary|disorders_of_the_airways|asthma_/_bronchospasm,0.00013066654685023327,2.419594647233667e-06,
diagnosis_bucket_endocrine|glucose_metabolism|hyperglycemia,0.00012443939515771607,1.866638541414648e-06,
diagnosis_bucket_pulmonary|disorders_of_the_airways|COPD,0.00011819334373386337,8.994789709473557e-07,
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days|aortic,9.960235950223773e-05,1.0303876997705711e-06,
diagnosis_bucket_renal|disorder_of_kidney|ESRD_(end_stage_renal_disease),8.086761337866566e-05,5.873048381224905e-07,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome,6.841501406795736e-05,3.583615572466111e-07,
gender_Other,4.9786230373327633e-05,0.0013603688867568045,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke,4.972333454567046e-05,1.2376720608109348e-07,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(with_ST_elevation),4.360880666287592e-05,1.2975176661660754e-07,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|chest_pain,3.7279565437198237e-05,7.273985857314454e-08,
age__missing,3.111918246823109e-05,1.0569322774211262e-06,
gender_Unknown,3.111732347826912e-05,3.037749876330672e-06,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|upper_GI_bleeding,2.494439232703094e-05,3.803385700701999e-08,
gender_None,2.489714299824808e-05,4.731568344952372e-07,
diagnosis_bucket_gastrointestinal|post-GI_surgery|s/p_exploratory_laparotomy,1.2480484160470873e-05,1.4353470846618967e-08,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|lower_GI_bleeding,3.764454714616505e-08,1.18137701839743e-13,
