feature,KS,KL,p_chi2
diagnosis_bucket_cardiovascular|ventricular_disorders|congestive_heart_failure,0.0003312722109899413,3.169740928311729e-06,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|hemorrhagic_stroke,0.0003036604622239647,9.115315061220355e-06,
age__missing,0.00029594821069967026,0.00010424069589008402,
diagnosis_bucket_cardiovascular|cardiac_arrest|cardiac_arrest,0.0002562508867486324,5.024437748387626e-06,
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days|aortic,0.00024977438439266475,6.465941863568949e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension_/_pressor_dependent,0.00023678490550116393,7.2095550313706815e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis|severe,0.00022060478069563239,4.313284583761461e-06,
gender_None,0.00020521188197675233,3.321042085654006e-05,
diagnosis_bucket_cardiovascular|cardiac_surgery|CABG_<_7days,0.00019721439640774108,4.044154296697629e-06,
diagnosis_bucket_renal|disorder_of_kidney|ESRD_(end_stage_renal_disease),0.00017649119890006393,2.8291351869153556e-06,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|lower_GI_bleeding,0.0001644895043888539,2.25884531293024e-06,
diagnosis_bucket_renal|disorder_of_urinary_tract_/_renal_system_infection|urinary_tract_infection,0.00013823057994943877,2.3787002580216905e-06,
gender_Unknown,0.00012689456405556854,5.337411861598912e-05,
diagnosis_bucket_pulmonary|disorders_of_vasculature|pulmonary_embolism,9.439169742220255e-05,1.3596735676010531e-06,
diagnosis_bucket_neurologic|seizures|seizures,8.633060565499395e-05,4.6450619897165626e-07,
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation|with_rapid_ventricular_response,7.433457607075589e-05,2.9285858301293037e-07,
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days,6.591410928413755e-05,6.59205789259448e-07,
gender_Other,5.597792667266788e-05,3.6632155012452585e-05,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|ischemic_stroke,3.148874531189172e-05,6.152078851788588e-08,
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis,9.661880881917106e-06,3.1899951720387965e-09,
