feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
systemicmean__missing,cat,,,1.4682151021666082e-05,,2.604053471038415,0.10659078045244556,False,False
respiration__missing,cat,,,6.023877686241653e-07,,0.10152765941512663,0.750004028164411,False,False
temperature__missing,cat,,,3.887754589062957e-06,,0.6798111086299359,0.4096517757643905,False,False
spo2__missing,cat,,,2.3557543060308e-06,,0.40249147159770116,0.5258053542655625,False,False
albumin__missing,cat,,,1.5545957173635675e-05,,2.7571456433224064,0.09682084481977239,False,False
bun__missing,cat,,,1.522653947177139e-06,,0.2594734381660467,0.6104821407547271,False,False
glucose__missing,cat,,,5.234617578668592e-06,,0.9152574607776998,0.3387232971705898,False,False
lactate__missing,cat,,,9.672807969362119e-06,,1.7062529896849974,0.19147224854066947,False,False
creatinine__missing,cat,,,4.416705097480652e-07,,0.07196830899209747,0.7884921908180998,False,False
gender_Female,cat,,,8.989497877817982e-08,,0.014635180671965356,0.903710083751666,False,False
gender_Male,cat,,,4.395033833874289e-08,,0.0068733549375162035,0.9339265224456318,False,False
gender_Other,cat,,,2.489356219326123e-05,,0.9453603141464956,0.33090310796906297,False,False
gender_Unknown,cat,,,1.060578215169161e-06,,0.044656695413845864,0.8326365565991317,False,False
gender_None,cat,,,1.6957902302382449e-07,,0.004204285123179934,0.9483010275885151,False,False
unittype_CCU-CTICU,cat,,,1.2762127955677835e-05,,2.260913218221296,0.13267580195049133,False,False
unittype_CSICU,cat,,,1.2132481741309343e-05,,2.101550290892425,0.14714987431252663,False,False
unittype_CTICU,cat,,,6.880752508892342e-06,,1.202829584440017,0.2727568681308636,False,False
unittype_Cardiac ICU,cat,,,5.405682583229792e-07,,0.0891169138794361,0.7653028327806524,False,False
unittype_MICU,cat,,,3.0245946256826066e-06,,0.522655404689794,0.469711154788945,False,False
unittype_Med-Surg ICU,cat,,,3.924462479917689e-07,,0.06700202762960641,0.795752907707353,False,False
unittype_Neuro ICU,cat,,,1.5377602224205392e-06,,0.2620783406593522,0.6086958889727765,False,False
unittype_SICU,cat,,,6.951938969810873e-06,,1.2214199508995542,0.2690821660047772,False,False
diagnosis_bucket_None,cat,,,9.198479090914818e-07,,0.15721655519800956,0.6917322036349127,False,False
diagnosis_bucket_OTHER,cat,,,1.376318411296905e-05,,2.4364508091253105,0.11854417257221025,False,False
diagnosis_bucket_cardiovascular|arrhythmias|atrial fibrillation,cat,,,4.058493573836886e-06,,0.6670744723811156,0.41407344224942166,False,False
diagnosis_bucket_cardiovascular|arrhythmias|atrial fibrillation|with rapid ventricular response,cat,,,3.284834379754295e-07,,0.04525009095021651,0.8315448296433503,False,False
diagnosis_bucket_cardiovascular|cardiac arrest|cardiac arrest,cat,,,3.3523463254726576e-05,,6.101520503036154,0.013506561866033651,False,False
diagnosis_bucket_cardiovascular|cardiac surgery|CABG < 7days,cat,,,5.385899701654788e-06,,0.8608170728124452,0.3535101405649991,False,False
diagnosis_bucket_cardiovascular|cardiac surgery|s/p CABG < 7 days,cat,,,4.082443992546465e-06,,0.6662131744408527,0.41437499043090587,False,False
diagnosis_bucket_cardiovascular|cardiac surgery|valve replacement < 7days,cat,,,1.4503221169262126e-06,,0.20804861869883573,0.6483011947727968,False,False
diagnosis_bucket_cardiovascular|cardiac surgery|valve replacement < 7days|aortic,cat,,,3.7036686477052767e-07,,0.0467065079876416,0.8288966383749555,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome,cat,,,1.2947451189391036e-07,,0.013815371410435479,0.9064330927425934,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation),cat,,,2.6637074117544726e-05,,4.440310499263134,0.035099863324322245,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation),cat,,,4.675235165128705e-08,,0.003441179818021804,0.9532216691390631,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|chest pain,cat,,,2.6252097970805114e-08,,0.0015901098151982684,0.9681918407634442,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|coronary artery disease,cat,,,1.699106492746067e-05,,3.0150759422799447,0.08249359108961461,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|hyperlipidemia,cat,,,2.6291247564307933e-06,,0.4014874853470837,0.5263220557316071,False,False
diagnosis_bucket_cardiovascular|post vascular surgery|s/p cartoid endarterectomy,cat,,,1.6705195249415794e-05,,2.9609110783572046,0.08529986440494153,False,False
diagnosis_bucket_cardiovascular|shock / hypotension|hypotension,cat,,,1.8259859298229625e-06,,0.2990724944604209,0.5844644684686153,False,False
diagnosis_bucket_cardiovascular|shock / hypotension|hypotension / pressor dependent,cat,,,1.476917857018103e-06,,0.22276052301650454,0.63694454059479,False,False
diagnosis_bucket_cardiovascular|shock / hypotension|sepsis,cat,,,2.2271553653886016e-06,,0.3651428704698335,0.5456637976170811,False,False
diagnosis_bucket_cardiovascular|shock / hypotension|sepsis|severe,cat,,,5.482768568794127e-06,,0.8848389264225036,0.3468797527954699,False,False
diagnosis_bucket_cardiovascular|shock / hypotension|septic shock,cat,,,5.593395017811978e-06,,0.8860285769771985,0.34655579980749296,False,False
diagnosis_bucket_cardiovascular|vascular disorders|hypertension,cat,,,3.1143034628731284e-06,,0.5135854891776731,0.4735908310175999,False,False
diagnosis_bucket_cardiovascular|ventricular disorders|congestive heart failure,cat,,,1.0053499359441795e-06,,0.16252862210717411,0.6868390661652674,False,False
diagnosis_bucket_cardiovascular|ventricular disorders|hypertension,cat,,,1.534759816392182e-06,,0.23960952034918662,0.6244882820599955,False,False
diagnosis_bucket_endocrine|glucose metabolism|DKA,cat,,,9.214778950142698e-06,,1.556647791014177,0.212156723900808,False,False
diagnosis_bucket_endocrine|glucose metabolism|diabetes mellitus,cat,,,3.264934891638997e-07,,0.04738384458784741,0.8276797682397268,False,False
diagnosis_bucket_endocrine|glucose metabolism|hyperglycemia,cat,,,6.765941251421382e-07,,0.09314169251850554,0.7602205043898601,False,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|GI bleeding,cat,,,2.6680197964521732e-06,,0.4250694606271249,0.5144182599293876,False,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|lower GI bleeding,cat,,,4.2585666605631093e-14,,0.0,1.0,False,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|upper GI bleeding,cat,,,1.3710958802868945e-08,,0.0003456576051240278,0.9851666890524567,False,False
diagnosis_bucket_gastrointestinal|abdominal/ general|abdominal pain / tenderness,cat,,,9.016815045595883e-06,,1.4394252124220777,0.2302323762059283,False,False
diagnosis_bucket_gastrointestinal|post-GI surgery|s/p exploratory laparotomy,cat,,,5.174957678154301e-09,,0.0,1.0,False,False
diagnosis_bucket_hematology|bleeding and red blood cell disorders|anemia,cat,,,3.5556906879587078e-06,,0.5846705088147034,0.44448743157961246,False,False
diagnosis_bucket_neurologic|altered mental status / pain|change in mental status,cat,,,3.054445162218161e-06,,0.5071877656336875,0.4763587915112393,False,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke,cat,,,4.467588876083781e-08,,0.003764310646299197,0.9510773033107971,False,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke|hemorrhagic stroke,cat,,,5.651538193390114e-06,,0.952845987738014,0.3289959320891178,False,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke|ischemic stroke,cat,,,2.0584740212303938e-06,,0.3340254525028672,0.5632983148561099,False,False
diagnosis_bucket_neurologic|seizures|seizures,cat,,,8.971708557305385e-07,,0.13488558347905036,0.7134193244936329,False,False
diagnosis_bucket_pulmonary|disorders of the airways|COPD,cat,,,3.252295660585347e-07,,0.0439018195115676,0.8340363837339662,False,False
diagnosis_bucket_pulmonary|disorders of the airways|acute COPD exacerbation,cat,,,1.4778549002872013e-05,,2.611112453458368,0.10611729771400563,False,False
diagnosis_bucket_pulmonary|disorders of the airways|asthma / bronchospasm,cat,,,8.780491741650594e-07,,0.12278781337055503,0.7260303317543788,False,False
diagnosis_bucket_pulmonary|disorders of vasculature|pulmonary embolism,cat,,,1.5241920654256282e-06,,0.22702615666411394,0.6337377097580039,False,False
diagnosis_bucket_pulmonary|pulmonary infections|pneumonia,cat,,,5.515922885402408e-06,,0.953905744290387,0.3287271123266953,False,False
diagnosis_bucket_pulmonary|respiratory failure|acute respiratory distress,cat,,,1.2023784483717842e-06,,0.19458725292086473,0.6591257981947799,False,False
diagnosis_bucket_pulmonary|respiratory failure|acute respiratory failure,cat,,,2.1102628732206508e-05,,3.6215321100181894,0.05703632468693929,False,False
diagnosis_bucket_pulmonary|respiratory failure|hypoxemia,cat,,,6.615146263127232e-07,,0.09335179030976867,0.7599585253649644,False,False
diagnosis_bucket_renal|disorder of kidney|ESRD (end stage renal disease),cat,,,2.1233310953781489e-07,,0.024787091016923134,0.8748987482563515,False,False
diagnosis_bucket_renal|disorder of kidney|acute renal failure,cat,,,1.6659691238476775e-06,,0.26937107805812416,0.6037539707091384,False,False
diagnosis_bucket_renal|disorder of kidney|chronic kidney disease,cat,,,1.9105288933656458e-06,,0.2848138158694428,0.593563290047178,False,False
diagnosis_bucket_renal|disorder of urinary tract / renal system infection|urinary tract infection,cat,,,1.7787171060502027e-05,,2.871895812558203,0.09013863317625377,False,False
diagnosis_bucket_toxicology|drug overdose|drug overdose- general,cat,,,1.618909878083673e-05,,2.587401069892855,0.10771695359197102,False,False
