,count,mean,std
predictedhospitalmortality,95513.0,-0.006521312324043552,0.9920722813416187
predictedhospitalmortality__missing,95513.0,0.2586349502162009,0.4378868806778762
respiration,95513.0,-0.0074508376892625135,1.002201737110082
respiration__missing,95513.0,0.09606022216871002,0.29467535528754707
spo2,95513.0,0.011974793615735528,0.9817202810905089
spo2__missing,95513.0,0.05389842220430727,0.22581832561425438
systemicdiastolic,95513.0,0.002079195405650476,0.9915906568989072
systemicdiastolic__missing,95513.0,0.7639274234920901,0.42466952244395434
systemicmean,95513.0,0.0036360472524597895,1.008926692641382
systemicmean__missing,95513.0,0.7621789704019348,0.4257512011420423
systemicsystolic,95513.0,0.005378835626586406,1.0013525320688277
systemicsystolic__missing,95513.0,0.7638855443761582,0.42469554726259845
temperature,95513.0,-0.006679312174268559,1.0840425068044877
temperature__missing,95513.0,0.9006208578936898,0.29917196611014846
unittype_CCU-CTICU,95513.0,0.08026132568341482,0.2716987636415085
unittype_CSICU,95513.0,0.0483389695643525,0.21448262219794803
unittype_CTICU,95513.0,0.028320752148922136,0.16588844222618498
unittype_Cardiac ICU,95513.0,0.059028613905960446,0.23567948189919202
unittype_MICU,95513.0,0.09037513218095966,0.286719947627057
unittype_Med-Surg ICU,95513.0,0.5628867274611833,0.4960320912760389
unittype_Neuro ICU,95513.0,0.0713306042109451,0.25737762658389024
unittype_SICU,95513.0,0.059457874844262036,0.23648091142211644
