feature,type,ks,w,skl,js,pval,fdr_sig
diagnosis_bucket_cardiovascular|cardiac arrest|cardiac arrest,cat,,,9.30501754139181e-05,2.3236694044589208e-05,1.713397071079307e-05,True
diagnosis_bucket_cardiovascular|cardiac surgery|CABG < 7days,cat,,,1.4936779071281236e-05,3.733221189251051e-06,0.08753167198151288,False
diagnosis_bucket_cardiovascular|cardiac surgery|s/p CABG < 7 days,cat,,,1.1320166396958163e-05,2.8297345407870238e-06,0.13609159886433853,False
diagnosis_bucket_cardiovascular|cardiac surgery|valve replacement < 7days,cat,,,4.021544310462623e-06,1.0052866839441635e-06,0.38374405117437993,False
diagnosis_bucket_cardiovascular|cardiac surgery|valve replacement < 7days|aortic,cat,,,1.026890811540025e-06,2.567187472361417e-07,0.6661407193163383,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome,cat,,,3.589806450218571e-07,8.974489329873102e-08,0.8033752912475488,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation),cat,,,7.390576750223178e-05,1.846341281652497e-05,0.00012656666734095696,True
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation),cat,,,1.2962505436895573e-07,3.240626045748773e-08,0.8863405173016865,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|chest pain,cat,,,7.27862414418716e-08,1.819656792424935e-08,0.9165625763173045,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|coronary artery disease,cat,,,4.713407763673618e-05,1.1777308754256217e-05,0.0022373122020885833,True
diagnosis_bucket_cardiovascular|chest pain / ASHD|hyperlipidemia,cat,,,7.290603921719809e-06,1.8223704092073454e-06,0.2362311711081992,False
diagnosis_bucket_cardiovascular|post vascular surgery|s/p cartoid endarterectomy,cat,,,4.634729518779453e-05,1.1579158993304991e-05,0.0024598241464051838,True
diagnosis_bucket_cardiovascular|shock / hypotension|hypotension,cat,,,5.062882008759065e-06,1.2656770002208935e-06,0.3203584992141626,False
diagnosis_bucket_cardiovascular|shock / hypotension|hypotension / pressor dependent,cat,,,4.095222891228458e-06,1.0237214505101456e-06,0.3778548506743662,False
diagnosis_bucket_cardiovascular|shock / hypotension|sepsis,cat,,,6.17519122583958e-06,1.5437464608497652e-06,0.27108377815832585,False
diagnosis_bucket_cardiovascular|shock / hypotension|sepsis|severe,cat,,,1.5204848616898133e-05,3.800365571586387e-06,0.08434533785884624,False
diagnosis_bucket_cardiovascular|shock / hypotension|septic shock,cat,,,1.551320495513713e-05,3.877045982163366e-06,0.0819592727620631,False
diagnosis_bucket_cardiovascular|vascular disorders|hypertension,cat,,,8.63513705019216e-06,2.158670663121733e-06,0.19255645648099395,False
diagnosis_bucket_cardiovascular|ventricular disorders|congestive heart failure,cat,,,2.787455712124665e-06,6.968554743753882e-07,0.4615666772658993,False
diagnosis_bucket_cardiovascular|ventricular disorders|hypertension,cat,,,4.255435924395992e-06,1.0638144381068396e-06,0.364471432084019,False
diagnosis_bucket_endocrine|glucose metabolism|DKA,cat,,,2.5552326614030013e-05,6.387198046028692e-06,0.024313825331307853,False
diagnosis_bucket_endocrine|glucose metabolism|diabetes mellitus,cat,,,9.052360687215156e-07,2.2630804102987285e-07,0.6793909411695849,False
diagnosis_bucket_endocrine|glucose metabolism|hyperglycemia,cat,,,1.875982914607282e-06,4.689793116566395e-07,0.5556824591872249,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|GI bleeding,cat,,,7.397941740336128e-06,1.8493303974409622e-06,0.23008495312254373,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|lower GI bleeding,cat,,,1.1785153779031417e-13,2.94615654195835e-14,1.0,False
diagnosis_bucket_gastrointestinal|GI bleeding / PUD|upper GI bleeding,cat,,,3.801481783766832e-08,9.503712242278096e-09,0.944240155908648,False
diagnosis_bucket_gastrointestinal|abdominal/ general|abdominal pain / tenderness,cat,,,2.5014248970201973e-05,6.249979920687455e-06,0.02683823692545868,False
diagnosis_bucket_gastrointestinal|post-GI surgery|s/p exploratory laparotomy,cat,,,1.4348005538378782e-08,3.5870072180007008e-09,0.9742578772101992,False
diagnosis_bucket_hematology|bleeding and red blood cell disorders|anemia,cat,,,9.859950838568039e-06,2.464616978090683e-06,0.16592236532012977,False
diagnosis_bucket_neurologic|altered mental status / pain|change in mental status,cat,,,8.469076361002689e-06,2.117180050918992e-06,0.1964835738511924,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke,cat,,,1.2386786867228804e-07,3.0966966505418655e-08,0.8871270155693843,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke|hemorrhagic stroke,cat,,,1.567322101622649e-05,3.917347767968133e-06,0.07977008435988958,False
diagnosis_bucket_neurologic|disorders of vasculature|stroke|ischemic stroke,cat,,,5.70762017575456e-06,1.4268254657056869e-06,0.29226313549395544,False
diagnosis_bucket_neurologic|seizures|seizures,cat,,,2.4875458296443867e-06,6.218714480238157e-07,0.4907148236510376,False
diagnosis_bucket_pulmonary|disorders of the airways|COPD,cat,,,9.017352283506306e-07,2.254319575003256e-07,0.6835280420074854,False
diagnosis_bucket_pulmonary|disorders of the airways|acute COPD exacerbation,cat,,,4.099062910197768e-05,1.0243709578385284e-05,0.004354440638911591,True
diagnosis_bucket_pulmonary|disorders of the airways|asthma / bronchospasm,cat,,,2.4346017241380023e-06,6.086173111049281e-07,0.5011942518748546,False
diagnosis_bucket_pulmonary|disorders of vasculature|pulmonary embolism,cat,,,4.226386408282673e-06,1.0564894351106901e-06,0.37133963219079047,False
diagnosis_bucket_pulmonary|pulmonary infections|pneumonia,cat,,,1.5294370982129788e-05,3.823346397942577e-06,0.08168130572804906,False
diagnosis_bucket_pulmonary|respiratory failure|acute respiratory distress,cat,,,3.333759735751012e-06,8.334252323635868e-07,0.4207104503493557,False
diagnosis_bucket_pulmonary|respiratory failure|acute respiratory failure,cat,,,5.85194313581361e-05,1.4627227604958719e-05,0.0006311895597786057,True
diagnosis_bucket_pulmonary|respiratory failure|hypoxemia,cat,,,1.8341584888193955e-06,4.5852699935098603e-07,0.5586336099766953,False
diagnosis_bucket_renal|disorder of kidney|ESRD (end stage renal disease),cat,,,5.887164530747187e-07,1.4717809693825945e-07,0.7469221324578325,False
diagnosis_bucket_renal|disorder of kidney|acute renal failure,cat,,,4.619169044154276e-06,1.154761799953424e-06,0.34227307443749877,False
diagnosis_bucket_renal|disorder of kidney|chronic kidney disease,cat,,,5.297714414269862e-06,1.324277713175159e-06,0.3145851759790744,False
diagnosis_bucket_renal|disorder of urinary tract / renal system infection|urinary tract infection,cat,,,4.936853421279487e-05,1.2329127462887572e-05,0.0018069902728885896,True
diagnosis_bucket_toxicology|drug overdose|drug overdose- general,cat,,,4.493779290967975e-05,1.122142816724277e-05,0.002949438065354733,True
