feature,type,ks,w,skl,js,pval,fdr_sig
spo2__missing,cat,,,0.004792783507508849,0.0011887253391828093,5.5427779873521825e-208,True
albumin__missing,cat,,,0.005688979939455111,0.0014211128336905233,4.866202908977148e-250,True
bun__missing,cat,,,0.0003880941711693611,9.697373865495294e-05,1.1686586113508414e-18,True
glucose__missing,cat,,,0.00013237407578283768,3.308786294293239e-05,2.6224572165146686e-07,True
lactate__missing,cat,,,0.06284437050748427,0.015549343874022847,0.0,True
creatinine__missing,cat,,,0.00020302924700067856,5.074315256609974e-05,1.8036174306014416e-10,True
gender_Female,cat,,,7.995740120214298e-05,1.9989213472246378e-05,6.219652926915872e-05,True
gender_Male,cat,,,0.00010058253940677629,2.5145418351362305e-05,7.070383094041581e-06,True
gender_Other,cat,,,0.00017184069930283123,1.4301652080642704e-05,0.011334325547328607,True
gender_Unknown,cat,,,0.0008850720793871393,6.258976030013293e-05,4.710463850602116e-09,True
gender_None,cat,,,0.000429784059183973,9.753310014402606e-05,4.2104689210230656e-17,True
unittype_CCU-CTICU,cat,,,0.09056407891504986,0.021700382837046877,0.0,True
unittype_CSICU,cat,,,0.38413128611090996,0.0175286417253383,0.0,True
unittype_CTICU,cat,,,0.1891526329873079,0.0409770997462814,0.0,True
unittype_Cardiac_ICU,cat,,,0.506376644575699,0.022829368989912186,0.0,True
unittype_MICU,cat,,,0.027008556021151188,0.006653631205228794,0.0,True
unittype_Med-Surg_ICU,cat,,,0.40224186123203576,0.09589733003708653,0.0,True
unittype_Neuro_ICU,cat,,,0.0956284975559256,0.02282115292749266,0.0,True
unittype_SICU,cat,,,7.803131546084028e-05,1.9505937368624192e-05,7.753795035502426e-05,True
diagnosis_bucket_None,cat,,,0.298396752275662,0.07089758693613982,0.0,True
diagnosis_bucket_OTHER,cat,,,0.1162679784334075,0.028655113891100523,0.0,True
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation,cat,,,0.0017606717358705597,0.00043189539889728636,6.42126593316616e-76,True
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation|with_rapid_ventricular_response,cat,,,0.00941550357380462,0.0019837107647422145,3.7247044821738395e-304,True
diagnosis_bucket_cardiovascular|cardiac_arrest|cardiac_arrest,cat,,,0.0031623353970057443,0.0007399030716962804,1.8305635865613312e-123,True
diagnosis_bucket_cardiovascular|cardiac_surgery|CABG_<_7days,cat,,,0.002481323665035257,0.0005770810846926371,3.432826177888602e-96,True
diagnosis_bucket_cardiovascular|cardiac_surgery|s/p_CABG_<_7_days,cat,,,0.00015644072834007931,3.904631631485538e-05,2.4250354239057913e-08,True
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days,cat,,,0.00021363931711556916,5.3071844048022414e-05,9.197108104003449e-11,True
diagnosis_bucket_cardiovascular|cardiac_surgery|valve_replacement_<_7days|aortic,cat,,,0.0014189023160108135,0.00034864577349951603,1.022846565049249e-61,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome,cat,,,4.7071652446481536e-05,1.176056093113594e-05,0.0022670272724861144,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(no_ST_elevation),cat,,,0.0030319876246456745,0.0007264123179954809,9.630528608784467e-124,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(with_ST_elevation),cat,,,4.266452036762132e-05,1.066083510451154e-05,0.00364843126132941,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|chest_pain,cat,,,0.003911632172921571,0.000927456104740623,4.6226955868860006e-156,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|coronary_artery_disease,cat,,,0.006165859227298943,0.0014781420036533433,4.9557851469009035e-250,True
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|hyperlipidemia,cat,,,0.002906277236238811,0.0006469359428223607,4.540239006271287e-104,True
diagnosis_bucket_cardiovascular|post_vascular_surgery|s/p_cartoid_endarterectomy,cat,,,0.002409666909104973,0.000568459276196766,6.506458788079237e-96,True
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension,cat,,,0.0006015178836971868,0.00014983242984419227,7.564938019745185e-28,True
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension_/_pressor_dependent,cat,,,0.0010008177830101096,0.0002427796151616698,6.138954713100596e-43,True
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis,cat,,,0.00012904307001825727,3.223663969259365e-05,3.8980937151920993e-07,True
diagnosis_bucket_cardiovascular|shock_/_hypotension|sepsis|severe,cat,,,0.005497415080266955,0.001164648935393487,6.630245631814532e-180,True
diagnosis_bucket_cardiovascular|shock_/_hypotension|septic_shock,cat,,,0.002264054096129897,0.0005222695763464088,1.2246667649445795e-86,True
diagnosis_bucket_cardiovascular|vascular_disorders|hypertension,cat,,,7.691461554085958e-08,1.9228659034472176e-08,0.9119985158907106,False
diagnosis_bucket_cardiovascular|ventricular_disorders|congestive_heart_failure,cat,,,0.0030346539689786694,0.0007445888003992883,1.2715645083850496e-129,True
diagnosis_bucket_cardiovascular|ventricular_disorders|hypertension,cat,,,0.001515588127116186,0.0003745145298076095,1.5230588427845213e-66,True
diagnosis_bucket_endocrine|glucose_metabolism|DKA,cat,,,0.015533403993341506,0.0032469838612277624,0.0,True
diagnosis_bucket_endocrine|glucose_metabolism|diabetes_mellitus,cat,,,0.011271263614158044,0.0027152654779427614,0.0,True
diagnosis_bucket_endocrine|glucose_metabolism|hyperglycemia,cat,,,0.002029375791615552,0.00047382748368968717,1.5679598602589156e-79,True
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|GI_bleeding,cat,,,1.6063254245921244e-06,4.015745110668513e-07,0.5828039293501563,False
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|lower_GI_bleeding,cat,,,0.004831538941306153,0.0010626135110014452,2.0625292045636713e-168,True
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|upper_GI_bleeding,cat,,,0.006382705286485594,0.001412066578804283,3.765377329728199e-224,True
diagnosis_bucket_gastrointestinal|abdominal/_general|abdominal_pain_/_tenderness,cat,,,0.0007065864365314595,0.0001729138683029626,2.725333144436039e-31,True
diagnosis_bucket_gastrointestinal|post-GI_surgery|s/p_exploratory_laparotomy,cat,,,0.0006090441117400048,0.00015050416039731705,1.0333044745102827e-27,True
diagnosis_bucket_hematology|bleeding_and_red_blood_cell_disorders|anemia,cat,,,0.0013294251082566618,0.0003225375714768255,1.588477305451003e-56,True
diagnosis_bucket_neurologic|altered_mental_status_/_pain|change_in_mental_status,cat,,,0.0020156057761902225,0.0004974308022362482,1.0820602024015365e-87,True
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke,cat,,,0.0023611608781335942,0.0005744908582773726,1.2593701866449334e-99,True
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|hemorrhagic_stroke,cat,,,0.0014086641003410879,0.0003407319217969318,1.8734721194942965e-59,True
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke|ischemic_stroke,cat,,,0.0025540404173253987,0.0006142659331106734,2.8369813389033503e-105,True
diagnosis_bucket_neurologic|seizures|seizures,cat,,,0.0006681559223952306,0.00016566506556724646,1.8527824223409355e-30,True
diagnosis_bucket_pulmonary|disorders_of_the_airways|COPD,cat,,,0.0032890823578306206,0.0008031559277669605,4.913612529102614e-139,True
diagnosis_bucket_pulmonary|disorders_of_the_airways|acute_COPD_exacerbation,cat,,,0.004018535906876692,0.0009415657204279307,8.040136509517459e-157,True
diagnosis_bucket_pulmonary|disorders_of_the_airways|asthma_/_bronchospasm,cat,,,0.00140572985034071,0.00034347964867749545,1.7002460813385094e-60,True
diagnosis_bucket_pulmonary|disorders_of_vasculature|pulmonary_embolism,cat,,,0.00015077992424237846,3.753049407495806e-05,5.0430065960566444e-08,True
diagnosis_bucket_pulmonary|pulmonary_infections|pneumonia,cat,,,0.00445525148053293,0.0010837791493384526,2.727380370463093e-186,True
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_distress,cat,,,0.002438481192905733,0.0005987142922919779,1.1830686964774356e-104,True
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_failure,cat,,,0.003195201960123523,0.0007889645965731126,4.385028776324437e-138,True
diagnosis_bucket_pulmonary|respiratory_failure|hypoxemia,cat,,,8.327048156547032e-06,2.081477812814877e-06,0.2038569655872445,False
diagnosis_bucket_renal|disorder_of_kidney|ESRD_(end_stage_renal_disease),cat,,,1.0202896555288948e-05,2.5503320207828504e-06,0.15859374601361598,False
diagnosis_bucket_renal|disorder_of_kidney|acute_renal_failure,cat,,,0.0007937493977997053,0.00019735797406301417,4.3057452042591566e-36,True
diagnosis_bucket_renal|disorder_of_kidney|chronic_kidney_disease,cat,,,0.0017529013265512095,0.00042722792626596136,1.1824929445881206e-74,True
diagnosis_bucket_renal|disorder_of_urinary_tract_/_renal_system_infection|urinary_tract_infection,cat,,,0.0017042136723966223,0.0004029555415034254,1.3272152208242759e-68,True
diagnosis_bucket_toxicology|drug_overdose|drug_overdose-_general,cat,,,0.0006064160854549598,0.00014858357289181107,3.90527684733747e-27,True
